Name,samAccountName,CustName,CustsamAccountName,accountPassword,passwordNeverExpires,domain,ouPath,addToGroup,createGroup,groupOU,GroupType,addGroupToGroup,createOUName,createOUPath
svc_iaas,svc_iaas,,,Password123!,TRUE,vlab.local,OU=EHC,SQL_Admins,EHC_System_Admins,OU=EHC,Universal,"EHC_Service_Architects,EHC_Fabric_Admins,EHC_IaaS_Admins,Tenant_BG_Managers,EHC_Tenant_Admins,NSX_Ent_Admins,EHC_Storage_Services,EHC_Backup_Services,VC_Admins,VC_App_Logins_RW,SSO_Admins,ViPR_Admins,ViPR_System_Monitors,VPLEX_Admins,VRO_Admins,SQL_Admins,VROPS_Admins,VROPS_App_Logins_RW,Log_Insight_Admins,ViPR_SRM_Admins,DPA_Admins,DPA_Users,Avamar_Admins,DD_Admins,SRM_Admins,RP_Admins",EHC,"DC=vlab,DC=local"
svc_sqlsvr,svc_sqlsvr,,,Password123!,TRUE,vlab.local,OU=EHC,,EHC_Service_Architects,OU=EHC,Universal,,,
svc_sqlsvragent,svc_sqlsvragent,,,Password123!,TRUE,vlab.local,OU=EHC,,EHC_Fabric_Admins,OU=EHC,Universal,,,
svc_vcenter,svc_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,EHC_IaaS_Admins,OU=EHC,Universal,,,
svc_vum,svc_vum,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,Tenant_BG_Managers,OU=EHC,Universal,,,
svc_srm,svc_srm,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,EHC_Tenant_Admins,OU=EHC,Universal,,,
svc_vro,svc_vro,,,Password123!,TRUE,vlab.local,OU=EHC,,NSX_Ent_Admins,OU=EHC,Universal,,,
adbind_vra,adbind_vra,,,Password123!,TRUE,vlab.local,OU=EHC,,EHC_Storage_Services,OU=EHC,Universal,,,
adbind_vro,adbind_vro,,,Password123!,TRUE,vlab.local,OU=EHC,,EHC_Backup_Services,OU=EHC,Universal,,,
adbind_vrops,adbind_vrops,,,Password123!,TRUE,vlab.local,OU=EHC,,VC_Admins,OU=EHC,Universal,,,
adbind_vipr,adbind_vipr,,,Password123!,TRUE,vlab.local,OU=EHC,,VC_ReadOnly,OU=EHC,Universal,,,
adbind_logi,adbind_logi,,,Password123!,TRUE,vlab.local,OU=EHC,,VC_App_Logins_RW,OU=EHC,Universal,,,
adbind_dpa,adbind_dpa,,,Password123!,TRUE,vlab.local,OU=EHC,,VC_App_Logins_RO,OU=EHC,Universal,,,
adbind_rp,adbind_rp,,,Password123!,TRUE,vlab.local,OU=EHC,,SSO_Admins,OU=EHC,Universal,,,
adbind_sso,adbind_sso,,,Password123!,TRUE,vlab.local,OU=EHC,,ViPR_Admins,OU=EHC,Universal,,,
app_vrb_vcenter,app_vrb_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RO,ViPR_System_Monitors,OU=EHC,Universal,,,
app_nsx_vcenter,app_nsx_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,VPLEX_Admins,OU=EHC,Universal,,,
app_logi_vcenter,app_logi_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,VRO_Admins,OU=EHC,Universal,,,
app_vra_vcenter,app_vra_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,SQL_Admins,OU=EHC,Universal,,,
app_vro_vcenter,app_vro_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,"VC_App_Logins_RW,VRO_Admins",SQL_App_Logins_RO,OU=EHC,Universal,,,
app_vrops_vcenter,app_vrops_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,VROPS_Admins,OU=EHC,Universal,,,
app_vrops_vra,app_vrops_vra,,,Password123!,TRUE,vlab.local,OU=EHC,"EHC_IaaS_Admins,EHC_Tenant_Admins",VROPS_App_Logins_RW,OU=EHC,Universal,,,
app_vipr_vcenter,app_vipr_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,Log_Insight_Admins,OU=EHC,Universal,,,
app_avamar_vcenter,app_avamar_vcenter,,,Password123!,TRUE,vlab.local,OU=EHC,VC_App_Logins_RW,ViPR_SRM_Admins,OU=EHC,Universal,,,
app_nsx_sso,app_nsx_sso,,,Password123!,TRUE,vlab.local,OU=EHC,SSO_Admins,DPA_Admins,OU=EHC,Universal,,,
app_vro_sso,app_vro_sso,,,Password123!,TRUE,vlab.local,OU=EHC,"SSO_Admins,VRO_Admins",DPA_Users,OU=EHC,Universal,,,
app_logi_vrops,app_logi_vrops,,,Password123!,TRUE,vlab.local,OU=EHC,VROPS_App_Logins_RW,Avamar_Admins,OU=EHC,Universal,,,
app_vasa_vipr,app_vasa_vipr,,,Password123!,TRUE,vlab.local,OU=EHC,,DD_Admins,OU=EHC,Universal,,,
app_vro_vipr,app_vro_vipr,,,Password123!,TRUE,vlab.local,OU=EHC,"VC_App_Logins_RW,ViPR_System_Monitors",SRM_Admins,OU=EHC,Universal,,,
app_vra_nsx,app_vra_nsx,,,Password123!,TRUE,vlab.local,OU=EHC,NSX_Ent_Admins,RP_Admins,OU=EHC,Universal,,,
app_vra_vro,app_vra_vro,,,Password123!,TRUE,vlab.local,OU=EHC,"VC_App_Logins_RW,VRO_Admins",,OU=EHC,Universal,,,
app_vro_iaas,app_vro_iaas,,,Password123!,TRUE,vlab.local,OU=EHC,,,,,,,
app_vipr_vplex,app_vipr_vplex,,,Password123!,TRUE,vlab.local,OU=EHC,VPLEX_Admins,,,,,,
app_vipr_rpa,app_vipr_rpa,,,Password123!,TRUE,vlab.local,OU=EHC,RP_Admins,,,,,,
app_vro_dpa,app_vro_dpa,,,Password123!,TRUE,vlab.local,OU=EHC,DPA_Users,,,,,,
app_vro_srm,app_vro_srm,,,Password123!,TRUE,vlab.local,OU=EHC,SRM_Admins,,,,,,
app_vro_sql,app_vro_sql,,,Password123!,TRUE,vlab.local,OU=EHC,SQL_App_Logins_RO,,,,,,
